sku,color_name,category,image_url
MM041,Matt Metal Gold Brown,Matt Metal,https://static.tildacdn.com/stor6231-3533-4665-a266-636237383564/50199729.jpg
MM043,Matt Liquid Metal Tungsten Steel,Matt Metal,https://static.tildacdn.com/stor3463-3464-4432-a131-386363346233/63899834.jpg
MM044,Matt Metal Racing Yellow,Matt Metal,https://static.tildacdn.com/stor3263-6264-4438-b832-623936643830/22189496.jpg
MM045,Matt White,Matt Metal,https://static.tildacdn.com/stor3565-6334-4932-b639-303138366134/83122995.jpg
MM046,Matt Metal Shell Pink,Matt Metal,https://static.tildacdn.com/stor6133-3362-4137-b361-656533626666/38946008.jpg
MM047,Matt Metal Racing Orange,Matt Metal,https://static.tildacdn.com/stor6231-6462-4135-a230-333238656130/74678255.jpg
MM048,Matt Metal Green Raceway,Matt Metal,https://static.tildacdn.com/stor3065-6133-4161-a239-663435616161/26869164.jpg
SD101,Laser White,Special Design,https://static.tildacdn.com/stor3366-6231-4563-a564-626137376265/13847633.jpg
SD102,Laser Black,Special Design,https://static.tildacdn.com/stor3366-3237-4930-a565-633134346339/27629608.jpg
SD103,Vagary Lemon Yellow,Special Design,https://static.tildacdn.com/stor6434-3865-4765-a336-326631656162/73905165.jpg
SD104,Flower Pink,Special Design,https://static.tildacdn.com/stor3834-6562-4337-a664-623066363638/30915638.jpg
SD106,Chameleon Silver Purple,Special Design,https://static.tildacdn.com/stor3864-3962-4036-b630-386132393333/33126839.jpg
SD107,Chameleon Tiffany,Special Design,
SD108,Chameleon Tephros,Special Design,https://static.tildacdn.com/stor3331-6238-4764-b261-383062313835/24818954.jpg
SD109,Chameleon Turquoise,Special Design,https://static.tildacdn.com/stor6661-3962-4434-a139-353466623834/60555841.jpg
SD110,Chameleon Carmine Pink,Special Design,https://static.tildacdn.com/stor3339-3466-4435-a165-663839653731/35955814.jpg
SD111,Chameleon Grey Purple,Special Design,https://static.tildacdn.com/stor6439-6237-4430-b363-336433663832/90654195.jpg
SD112,Auroral White,Special Design,https://static.tildacdn.com/stor3863-3939-4835-b434-323530326162/15506648.jpg
SD113,Shadow of Stars,Special Design,https://static.tildacdn.com/stor6635-3065-4861-b836-393139376237/36177979.jpg
SD114,Diamond White,Special Design,https://static.tildacdn.com/stor6166-6432-4635-b337-663430306362/81129068.jpg
SD115,Diamond White Gold,Special Design,https://static.tildacdn.com/stor6438-3866-4236-b062-373132393434/15348043.jpg
SD116,Diamond White Red,Special Design,https://static.tildacdn.com/stor6261-6261-4762-b035-393865633035/86351752.jpg
SD117,Diamond White Blue,Special Design,https://static.tildacdn.com/stor3963-6137-4065-a135-316165626438/22838712.jpg
SD119,Carbon Black Metallic,Special Design,https://static.tildacdn.com/stor3334-3436-4839-a435-626539326661/75805247.jpg
SD121,Glazed Tata Red,Special Design,https://static.tildacdn.com/stor6166-3531-4736-a231-383137666662/25315966.jpg
SD124,Attractive Red,Special Design,https://static.tildacdn.com/stor3563-3163-4662-a232-353536356332/28313654.jpg
SD201,Fantastic Black Cherry,Special Design,https://static.tildacdn.com/stor3766-6165-4064-b264-653465353361/40376198.jpg
SD202,Flip Psychedelic Grey,Special Design,https://static.tildacdn.com/stor6631-3737-4661-a335-623131643730/38130618.jpg
SD203,Flip Psychedelic Green,Special Design,https://static.tildacdn.com/stor3738-3238-4166-a361-613063313031/23583672.jpg
SD401,Black Carbon Fiber,Special Design,https://static.tildacdn.com/stor6163-3263-4963-b565-656430356135/61381925.jpg
SD402,Carbon Fiber,Special Design,
